OBJECTID_1,Site_Name,Designation_Type,Link_to_CA,Link_to_GMA,Traffic_Light_Colour_using_80__,Notes,Number_of_Marine_Components,Perc_in_Fav_or_Unfav_Recover,GEOGRAPHIC_LOCATION,Country,EST_DATE,STATUS,SITE_CODE,LEAD,Features,Feature_Designation_Dates,Feature_Management_Approaches,Feature_Conditions,Feature_Favourable,Feature_Unfavourable_Recovering,Feature_Unfavourable_No_Change,Feature_Unfavourable_Declining,Feature_Partially_Destroyed,Feature_Destroyed,Feature_Not_Assessed
30,Norwegian Boundary Sediment Plain ,Scottish NCMPA,https://data.jncc.gov.uk/data/bf2a3807-c9f1-4195-8cc3-b46f68961304/NBSP-4-ConservationStatements-V1.0.pdf,https://data.jncc.gov.uk/data/bf2a3807-c9f1-4195-8cc3-b46f68961304/NBSP-4-ConservationStatements-V1.0.pdf,Degraded/Degrading,,1,,MARINE,Scotland,,Current,,JNCC,Ocean quahog aggregations (including sands and gravels as their supporting habitat),7/8/2014,Recover to favourable condition,Y,-,-,-,-,-,-,-
31,Firth of Forth Banks Complex ,Scottish NCMPA,https://data.jncc.gov.uk/data/92fb7e5e-5e68-4e66-bde3-afd9c27d6b14/FFBC-4-ConservationStatements-v1.0.pdf,https://data.jncc.gov.uk/data/92fb7e5e-5e68-4e66-bde3-afd9c27d6b14/FFBC-4-ConservationStatements-v1.0.pdf,Mixed_Picture,,4,0.5,MARINE,Scotland,,Current,,JNCC,Ocean quahog aggregations (Arctica islandica); Offshore subtidal sands and gravels; Shelf banks and mounds large-scale feature; Wee Bankie key geodiversity area,07/08/2014; 07/08/2014; 07/08/2014; 07/08/2014,Recover to favourable condition; Recover to favourable condition; Conserve; Conserve,Y; Y; Y; Y,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -
32,East of Gannet and Montrose Fields ,Scottish NCMPA,https://data.jncc.gov.uk/data/7d1e751a-e082-405b-aad9-51eeaf53dd67/egmf-conservation-statements-v2-0.pdf,https://data.jncc.gov.uk/data/7d1e751a-e082-405b-aad9-51eeaf53dd67/egmf-conservation-statements-v2-0.pdf,Degraded/Degrading,,2,,MARINE,Scotland,,Current,,JNCC,Ocean quahog aggregations (including sands and gravels as their supporting habitat); Offshore deep-sea muds,07/08/2014; 07/08/2014,Recover to favourable condition; Recover to favourable condition,Y; Y,-; -,-; -,-; -,-; -,-; -,-; -,-; -
33,Erme Estuary ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineSiteDetail.aspx?SiteCode=UKMCZ0059&SiteName=&SiteNameDisplay=Erme%20Estuary%20MCZ&countyCode=&responsiblePe,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/914618/mcz-erme-estuary-2019.pdf,Recovered/Recovering,,8,,,England,,Designated,,,Coastal Saltmarshes and Saline Reedbeds; Esturine Rocky Habitats; Intertidal Coarse Sediment; Intertidal Mixed Sediments; Intertidal Mud,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition,N; N; N; N; N,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -
34,Morte Platform ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UKMCZ0063&SiteName=&SiteNameDisplay=Morte+Platform+MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=  Natural England is currently in th,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915649/mcz-morte-platform-2019.pdf,Degraded/Degrading,,3,,,England,,Designated,,,High energy circalittoral rock; Moderate energy circalittoral rock; Subtidal coarse sediment,31/05/2019; 31/05/2019; 31/05/2019,Recover to favourable condition; Recover to favourable condition; Recover to favourable condition,N; N; N,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -
35,Solway Firth ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineSiteDetail.aspx?SiteCode=UKMCZ0069&SiteName=&SiteNameDisplay=Solway%20Firth%20MCZ&countyCode=&responsiblePe,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915681/mcz-solway-firth-2019.pdf,Degraded/Degrading,,1,,,England,,Designated,,,"Bar-tailed godwit (Limosa lapponica), non-breeding; Curlew (Numenius arquata), non-breeding; Golden plover (Pluvialis apricaria), non-breeding; Knot (Calidris canutus), non-breeding; Oystercatcher (Haematopus ostralegus), non-breeding; Pink-footed goose (Anser brachyrhynchus), non-breeding; Pintail (Anas acuta), non-breeding; Redshank (Tringa totanus), non-breeding; Red-throated diver (Gavia stellata), non-breeding; Ringed plover (Charadrius hiaticula), concentration; Greater scaup (Aythya marila), non-breeding; Barnacle goose (Branta leucopsis), non-breeding; Waterbird assemblage, non-breeding; Black-headed gull (Larsus ridibundus), non-breeding; Common gull (Larus canus), non-breeding; Black (common) scoter (Melanitta nigra), non-breeding; Cormorant (Phalacrocorax carbo), non-breeding; Dunlin (Calidris alpina alpina), non-breeding; Goldeneye (Bucephala clangula), non-breeding; Goosander (Mergus merganser), non-breeding; Grey plover (Pluvialis squatarola), non-breeding; Herring gull (Larus argentatus), non-breeding; Lapwing (Vanellus vanellus), non-breeding; Sanderling (Calidris alba), non-breeding; Shelduck (Tadorna tadorna), non-breeding; Shoveler (Anas clypeata), non-breeding; Teal (Anas crecca), non-breeding; Ruddy turnstone (Arenaria interpres), non-breeding; Whooper swan (Cygnus cygnus), non-breeding",03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020; 03/12/2020,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
36,Orford Inshore ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineSiteDetail.aspx?SiteCode=UKMCZ0081&SiteName=&SiteNameDisplay=Orford%20Inshore%20MCZ&countyCode=&responsible,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915656/mcz-orford-inshore-2019.pdf,Degraded/Degrading,,1,,,England,,Designated,,,Subtidal mixed sediments,31/05/2019,Recover to favourable condition,N,-,-,-,-,-,-,-
37,Holderness Inshore ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UKMCZ0035&SiteName=holderness&SiteNameDisplay=Holderness+Inshore+MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/492320/mcz-holderness-factsheet.pdf,Recovered/Recovering,,8,,,England,,Designated,,,High enery circalittoral rock; Intertidal sand and muddy sand; Moderate energy circalittoral rock; Spurn Head (Subtidal); Subtidal coarse sediment; Subtidal mixed sediments; Subtidal mud; Subtidal sand,29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016,Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition,N; N; N; N; N; N; N; N,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -
38,Cromer Shoal Chalk Beds ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UKMCZ0031&SiteName=cromer&SiteNameDisplay=Cromer+Shoal+Chalk+Beds+MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/492323/mcz-cromer-shoal-chalk-beds-factsheet.pdf,Degraded/Degrading,"**This MPA was automatically categorised as Unknown following our 80% rule MPA Recovery Assessment Methodology, due to 60% of the MPA's features being reported as not assessed. However, we have changed this to Degraded/Degrading based on local knowledge of the condition of this site and Natural England's supplementary conservation advice which states designated features have been lost due to the impacts of developments (please see the individual feature notes for details).",10,,,England,,Designated,,,High energy circalittoral rock; High energy infralittoral rock; Moderate energy circalittoral rock; Moderate energy infralittoral rock; North Norfolk Coast assemblage of subtidal sediment features and habitats; Peat and clay exposures; Subtidal chalk; Subtidal coarse sediment; Subtidal mixed sediments; Subtidal sand,29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016,-; -; -; -; Maintain in favourable condition; -; -; -; -; -,Y; Y; Y; Y; N; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; 100%; 100%; 100%; -,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -,100%; 100%; 100%; 100%; -; 100%; -; -; -; 100%
39,Farnes East ,MCZ,https://jncc.gov.uk/our-work/farnes-east-mpa/#monitoring,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/492371/mcz-farnes-east-factsheet.pdf,Mixed_Picture,,7,,,England,,Designated,,,Subtidal mud; Subtidal sand,29/01/2016; 12/12/2013,Maintain in favourable condition; Maintain in favourable condition,Y; Y,100%; 100%,-; -,-; -,-; -,-; -,-; -,-; -
